ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,addressline2,city,state,postalcode,country,territory,contactlastname,contactfirstname,dealsize
-0.23596515534203857,-1.255747685739996,0.8101579745265006,0.1263473564750498,-0.6850799515392398,4/5/2004 0:00,Shipped,-0.5962425798983697,-0.8458607810822437,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Small
-0.08390556184085132,-0.7351473807433724,0.8101579745265006,-1.0570587063287502,-0.1909510092272948,5/18/2004 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium
0.046431232588737756,-0.11042701474742408,0.8101579745265006,-1.0570587063287502,0.09097602850567087,6/28/2004 0:00,Shipped,-0.5962425798983697,-0.29881267455413973,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium
0.17676802701832683,1.0348936562451478,0.4546919307652012,-1.2937399188895102,0.3801054553243737,7/23/2004 0:00,Shipped,0.23455347294126402,-0.025288621290087743,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
0.2853820223763177,0.09781310725122534,0.8101579745265006,-0.1103338560857102,0.335245025469585,8/27/2004 0:00,Shipped,0.23455347294126402,0.24823543197396428,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
0.43744161587750496,-1.255747685739996,0.8101579745265006,0.5997097815965698,-0.532443595188976,9/30/2004 0:00,Shipped,0.23455347294126402,0.5217594852380163,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
0.5460556112354958,0.618413412247849,0.8101579745265006,-0.3470150686464702,0.5054570594364474,10/15/2004 0:00,Shipped,1.0653495257808978,0.7952835385020682,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
0.6438082070576877,1.1390137172444725,0.549383722060052,-1.2937399188895102,0.48446789990351286,11/2/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium
0.7632836019514777,0.7225334732471737,0.8101579745265006,-1.2937399188895102,0.5064735955062869,11/15/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
0.8936203963810667,0.618413412247849,0.8101579745265006,0.5997097815965698,2.436615682340767,11/24/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
1.1108483870970485,-1.5681078687379701,-0.5507266699989761,1.5464346318396098,-1.1945724503612578,12/17/2004 0:00,Shipped,1.0653495257808978,1.3423316450301723,0.2643280247651782,Motorcycles,-0.14134065747451824,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
1.2629079805982357,-1.4639878077386455,-2.4167994576105953,1.3097534192788498,-1.6092094271663848,2/3/2005 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,1.6938261357079059,Motorcycles,-0.14134065747451824,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
1.404106174563624,0.7225334732471737,-0.36183885595008475,-0.5836962812072303,-0.18027738049398084,3/3/2005 0:00,Shipped,-1.4270386327380036,-1.1193848343462958,1.6938261357079059,Motorcycles,-0.14134065747451824,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium
1.5670271676006102,-1.1516276247406712,0.8101579745265006,0.1263473564750498,-0.6264905089684948,4/8/2005 0:00,Shipped,-0.5962425798983697,-0.8458607810822437,1.6938261357079059,Motorcycles,-0.14134065747451824,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
1.7190867611017975,3.221414937230967,0.8101579745265006,-1.0570587063287502,2.3084801555828833,5/13/2005 0:00,Disputed,-0.5962425798983697,-0.5723367278181918,1.6938261357079059,Motorcycles,-0.14134065747451824,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
-1.6913926931391166,-0.9433875027420218,0.8101579745265006,1.0730722067180898,1.088948763524276,1/29/2003 0:00,Shipped,-1.4270386327380036,-1.6664329408743999,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
-1.5936400973169247,-0.6310273197440477,0.8101579745265006,-1.2937399188895102,2.1311812479927648,3/24/2003 0:00,Shipped,-1.4270386327380036,-1.1193848343462958,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
-1.4415805038157374,0.30605322924987477,0.8101579745265006,1.0730722067180898,2.2004616466161964,5/28/2003 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
-1.2895209103145502,0.20193316825055005,0.8101579745265006,1.0730722067180898,2.2264757287670873,7/24/2003 0:00,Shipped,0.23455347294126402,-0.025288621290087743,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large
-1.1809069149565594,1.0348936562451478,0.8101579745265006,0.3630285690358098,2.567682413959125,9/19/2003 0:00,Shipped,0.23455347294126402,0.5217594852380163,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
-1.0397087209911713,-1.4639878077386455,0.8101579745265006,-1.2937399188895102,0.7745272261951937,10/20/2003 0:00,Shipped,1.0653495257808978,0.7952835385020682,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium
-0.9202333260973812,-0.11042701474742408,0.8101579745265006,-0.5836962812072303,2.567682413959125,11/6/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
-0.8224807302751894,-1.255747685739996,0.8101579745265006,0.3630285690358098,1.0704374106615753,11/13/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium
-0.7030053353813994,0.7225334732471737,0.8101579745265006,1.0730722067180898,2.178109404625977,11/25/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large
-0.5726685409518104,1.2431337782437972,0.8101579745265006,-0.1103338560857102,2.567682413959125,12/5/2003 0:00,Shipped,1.0653495257808978,1.3423316450301723,-1.1651700861775494,Classic Cars,2.6824539434971033,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large
-0.47491594512961854,-0.006306953748099373,0.8101579745265006,-0.8203774937679902,1.4763183154105854,1/29/2004 0:00,Shipped,-1.4270386327380036,-1.6664329408743999,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium
-0.33371775116423036,-0.6310273197440477,0.8101579745265006,-1.0570587063287502,1.7003778822133166,3/10/2004 0:00,Shipped,-1.4270386327380036,-1.1193848343462958,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium
-0.14907395905564585,-0.11042701474742408,0.8101579745265006,0.5997097815965698,1.5023323975614762,5/4/2004 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium
-0.007875765090257694,-0.3186671367460735,0.8101579745265006,-0.1103338560857102,2.40352627811287,6/15/2004 0:00,Shipped,-0.5962425798983697,-0.29881267455413973,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
0.12246102933933138,-1.4639878077386455,0.8101579745265006,0.5997097815965698,0.8006048418504496,7/19/2004 0:00,Shipped,0.23455347294126402,-0.025288621290087743,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
0.23107502469732227,-0.11042701474742408,0.8101579745265006,-1.0570587063287502,2.567682413959125,8/17/2004 0:00,Shipped,0.23455347294126402,0.24823543197396428,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
0.35055041959111227,0.20193316825055005,0.8101579745265006,1.0730722067180898,2.089064310371918,9/8/2004 0:00,Shipped,0.23455347294126402,0.5217594852380163,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
0.49174861355650046,1.2431337782437972,0.8101579745265006,-0.1103338560857102,2.567682413959125,10/11/2004 0:00,Shipped,1.0653495257808978,0.7952835385020682,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
0.5786398098428932,1.347253839243122,0.8101579745265006,-0.8203774937679902,2.567682413959125,10/21/2004 0:00,Shipped,1.0653495257808978,0.7952835385020682,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large
0.6872538052008841,0.5142933512485242,0.8101579745265006,-1.2937399188895102,1.4330577747111688,11/4/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium
0.8067292000946741,-0.9433875027420218,0.8101579745265006,-0.8203774937679902,-0.2981724615028575,11/18/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium
0.9587887935958613,-0.526907258744723,0.8101579745265006,-1.2937399188895102,0.24573209359247464,11/29/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
1.0674027889538522,-0.3186671367460735,0.8101579745265006,0.8363909941573299,1.2548405191943213,12/10/2004 0:00,Shipped,1.0653495257808978,1.3423316450301723,0.2643280247651782,Classic Cars,2.6824539434971033,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium
1.1977395833834412,0.618413412247849,0.8101579745265006,-1.0570587063287502,0.5750782286741997,1/20/2005 0:00,Shipped,-1.4270386327380036,-1.6664329408743999,1.6938261357079059,Classic Cars,2.6824539434971033,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium
1.3280763778130305,0.09781310725122534,0.8101579745265006,-0.8203774937679902,2.567682413959125,2/17/2005 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,1.6938261357079059,Classic Cars,2.6824539434971033,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large
1.4366903731710212,-1.1516276247406712,0.8101579745265006,-0.5836962812072303,-0.6368869005918526,3/9/2005 0:00,Shipped,-1.4270386327380036,-1.1193848343462958,1.6938261357079059,Classic Cars,2.6824539434971033,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
1.653918363887003,-1.255747685739996,0.8101579745265006,0.5997097815965698,0.35866578548775996,5/1/2005 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,1.6938261357079059,Classic Cars,2.6824539434971033,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium
1.795116557852391,1.5554939612417713,0.8101579745265006,-0.1103338560857102,2.567682413959125,5/31/2005 0:00,In Process,-0.5962425798983697,-0.5723367278181918,1.6938261357079059,Classic Cars,2.6824539434971033,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
-1.6479470949959203,0.41017329024919946,0.8056960576592038,-0.3470150686464702,0.21788709136124815,2/24/2003 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
-1.5067489010305322,-0.6310273197440477,0.6287066885897706,-0.8203774937679902,-0.41896698062002613,4/29/2003 0:00,Shipped,-0.5962425798983697,-0.8458607810822437,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
-1.354689307529345,-0.8392674417426971,0.8101579745265006,-0.3470150686464702,-0.12214422400003877,7/1/2003 0:00,Shipped,0.23455347294126402,-0.025288621290087743,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
-1.2352139126355548,0.20193316825055005,0.8101579745265006,0.5997097815965698,0.9666929738067132,8/25/2003 0:00,Shipped,0.23455347294126402,0.24823543197396428,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium
-1.0831543191343675,0.20193316825055005,0.8101579745265006,2.4931594820826497,0.8649700575452819,10/10/2003 0:00,Shipped,1.0653495257808978,0.7952835385020682,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
-0.9854017233121758,-0.8392674417426971,0.8101579745265006,-0.5836962812072303,0.08183297965023993,10/28/2003 0:00,Shipped,1.0653495257808978,0.7952835385020682,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
-0.8550649288825867,0.7225334732471737,0.8101579745265006,1.3097534192788498,0.6794348974802151,11/11/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium
-0.7681737325961939,0.30605322924987477,0.6287066885897706,-0.5836962812072303,0.08182720387711598,11/18/2003 0:00,Shipped,1.0653495257808978,1.0688075917661204,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
-0.6269755386308058,-1.1516276247406712,0.8101579745265006,-0.3470150686464702,-0.2849343895024486,12/1/2003 0:00,Shipped,1.0653495257808978,1.3423316450301723,-1.1651700861775494,Motorcycles,0.43341399582059054,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium
-0.529222942808614,-1.255747685739996,0.8101579745265006,-1.0570587063287502,-0.29465501567028807,1/12/2004 0:00,Shipped,-1.4270386327380036,-1.6664329408743999,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
-0.38802474884322585,1.2431337782437972,0.8101579745265006,-0.5836962812072303,1.0992123123657802,2/20/2004 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
-0.24682655487783767,-1.3598677467393208,0.8101579745265006,-1.2937399188895102,-0.3853404294915881,4/3/2004 0:00,Shipped,-0.5962425798983697,-0.8458607810822437,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small
-0.08390556184085132,0.930773595245823,0.8101579745265006,-0.3470150686464702,1.29219821976092,5/18/2004 0:00,Shipped,-0.5962425798983697,-0.5723367278181918,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium
0.046431232588737756,0.5142933512485242,0.8101579745265006,-0.3470150686464702,0.5502886104256155,6/28/2004 0:00,Shipped,-0.5962425798983697,-0.29881267455413973,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium
0.17676802701832683,-1.3598677467393208,0.8101579745265006,-0.5836962812072303,-0.3550984814138652,7/23/2004 0:00,Shipped,0.23455347294126402,-0.025288621290087743,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
0.2853820223763177,1.2431337782437972,0.8101579745265006,0.5997097815965698,1.7127149336063683,8/27/2004 0:00,Shipped,0.23455347294126402,0.24823543197396428,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium
0.4265802163417059,0.41017329024919946,0.6287066885897706,-1.2937399188895102,0.1374710021545763,9/27/2004 0:00,Shipped,0.23455347294126402,0.5217594852380163,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
0.5351942116996968,-0.11042701474742408,0.8101579745265006,-1.0570587063287502,0.30306241762216857,10/15/2004 0:00,Shipped,1.0653495257808978,0.7952835385020682,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium
0.6438082070576877,1.0348936562451478,0.8101579745265006,-0.5836962812072303,1.1824469788570067,11/2/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium
0.7632836019514777,-1.5681078687379701,0.8101579745265006,-1.0570587063287502,-0.19825158645614147,11/15/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium
0.8718975973094686,0.5142933512485242,-0.730690650313274,-0.5836962812072303,-0.4403719958178949,11/23/2004 0:00,Shipped,1.0653495257808978,1.0688075917661204,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
1.1108483870970485,-0.9433875027420218,-1.6116713473339561,0.3630285690358098,-1.264517062893959,12/17/2004 0:00,Shipped,1.0653495257808978,1.3423316450301723,0.2643280247651782,Motorcycles,0.43341399582059054,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
1.2520465810624366,0.41017329024919946,0.8101579745265006,-0.3470150686464702,1.0215974731242905,2/2/2005 0:00,Shipped,-1.4270386327380036,-1.3929088876103477,1.6938261357079059,Motorcycles,0.43341399582059054,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
1.404106174563624,1.5554939612417713,-1.9408616584322862,-0.3470150686464702,-0.7472388219006708,3/3/2005 0:00,Shipped,-1.4270386327380036,-1.1193848343462958,1.6938261357079059,Motorcycles,0.43341399582059054,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small
